评论ID,酒店ID,酒店名称,用户昵称,评分,评级,评论内容,入住日期,评论日期,房型,有用数,图片列表,视频列表,酒店回复内容,酒店回复日期,酒店回复IP,用户评论数,用户头像,语言,满分
1961540203,404956,昆明中维翠湖宾馆,270456****,5,超棒,酒店很漂亮，房间很干净，工作人员服务态度都特别好！很喜欢这里，离翠湖非常非常非常非常非常近！前台态度很好，有问题都会很耐心解答回复，还会给送玫瑰花🌹。酒店打扫也很干净妥帖，802房间短发阿姨还会帮忙整理衣服和洗手台，出差工作一天看到房间很干净，很舒服。管家深夜有问题也会及时响应，都特别棒ദ്ദി ˉ͈̀꒳ˉ͈́ )✧。下次再来还会订,2026/5/1 0:00,2026/5/26 17:07,商务城景大床房,0,https://images4.c-ctrip.com/images/0232y12000slqh1uq9F1A_R_150_150_R5_Q70_D.png; https://images4.c-ctrip.com/images/0232z12000slqgdjj964D_R_150_150_R5_Q70_D.png; https://images4.c-ctrip.com/images/0232812000slqh1w175CB_R_150_150_R5_Q70_D.png; https://images4.c-ctrip.com/images/0232012000slqh7vi179D_R_150_150_R5_Q70_D.png,,尊敬的宾客您好！非常感谢您的满分好评与暖心认可。恰逢翠湖宾馆70周年之际，能以贴心的服务、干净整洁的环境和便利的位置，为您打造舒心的差旅体验，我们倍感荣幸。您提到的前台耐心解答、客房细致整理、管家深夜响应，都是我们团队用心服务的体现，也感谢您对我们送上玫瑰花的喜爱。我们会带着这份鼓励，继续以70年沉淀的匠心守护每一段旅程，期待您再次光临！,2026/5/29 0:00,发布于云南,17,https://dimg04.c-ctrip.com/images/Z80h180000013xc9e3F64_C_130_130_Q70.jpg,CN,5
1961771603,404956,昆明中维翠湖宾馆,re****,5,超棒,酒店位置很好，翠湖公园就在马路对面，隔壁吃饭，喝咖啡都有不错的选择，外卖可以送到前台，下午还有银耳甜品送到房间，去云南陆军讲武堂，圆通寺都很方便，住店客人可以免费停车，下次还会考虑入住!,2026/5/1 0:00,2026/5/26 18:52,商务城景大床房,0,https://images4.c-ctrip.com/images/0236n12000slr6v991E4C_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0231l12000slrcr1g1574_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0232o12000slrm11lE8EE_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0236z12000slras8a167A_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0236o12000slrgik81833_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0235w12000slri6y2C93F_R_150_150_R5_Q70_D.jpg,,尊敬的宾客您好！感谢您的满分好评与细致分享！翠湖宾馆紧邻翠湖公园，我们始终希望以优越的位置、贴心的配套服务，让您的出行更加便捷舒心。恰逢宾馆70周年，能为您提供免费停车、下午茶品等服务，助力您的旅程，我们倍感荣幸。期待您再次光临，解锁更多本地美好体验！,2026/5/29 0:00,发布于云南,4,https://dimg04.c-ctrip.com/images/27c2112000na9j9p95174_C_130_130_Q70.jpg,CN,5
1961335107,404956,昆明中维翠湖宾馆,M648237****,5,超棒,这次入住体验很惊喜，大堂环境优雅，房间设施新且干净。前台办理效率高，早餐丰富，周边交通便利，環境一流，性价比超高，适合家庭出游 。,2026/5/1 0:00,2026/5/26 15:25,商务城景大床房,0,,,尊敬的宾客您好！感谢您的满分好评！在翠湖宾馆70周年的特别时刻，能为您提供优雅的大堂环境、丰富的早餐与便捷的出行体验，让您和家人的旅程舒心顺畅，我们由衷开心。您的认可，是我们不断打磨服务细节的动力。我们会继续以高性价比的优质服务，陪伴每一段家庭出游时光，期待您再次到来！,2026/5/29 0:00,发布于云南,3,https://dimg04.c-ctrip.com/images/27c3k12000na9jmdu23FE_C_130_130_Q70.jpg,CN,5
1961200617,404956,昆明中维翠湖宾馆,梓喵喵喵喵喵,5,超棒,非常感谢小邓小肖大李颖的介绍～是个非常不错的体验～ 入住很开心～下次还会继续选择翠湖宾馆～ 也谢谢客房部的小姐姐～,2026/5/1 0:00,2026/5/26 13:13,商务城景大床房,0,,,尊敬的宾客您好！非常感谢您的满分好评与暖心认可。恰逢翠湖宾馆70周年之际，能为您带来舒心愉快的入住体验，我们倍感荣幸。您的肯定是对我们团队最大的鼓励，我们会将这份心意转达给小邓、小肖、大李颖及客房部的同事们。我们始终秉持70年沉淀的匠心服务，期待您再次光临，继续陪伴您的每一段美好旅程！,2026/5/29 0:00,发布于云南,4,https://dimg04.c-ctrip.com/images/27c3k12000na9jmdu23FE_C_130_130_Q70.jpg,CN,5
1960201973,404956,昆明中维翠湖宾馆,匿名用户,4.8,超棒,位置很好，出门就是翠湖，旁边有好多吃的，酒店外观也很大气，服务的话客房服务蛮及时的，但是我到的时候自己搬行李，没人帮助，走的时候也是自己搬行李，后面工作人员帮我来开车门了、,2026/5/1 0:00,2026/5/25 16:16,商务城景大床房,0,https://images4.c-ctrip.com/images/0234x12000slc64g3DEEE_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0230p12000slcb5hcE1CC_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0232512000slbt1thB0A6_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0230212000slc77wo9855_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0234j12000slcfwss73D3_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0235f12000slcfwst4685_R_150_150_R5_Q70_D.jpg,,尊敬的宾客，感恩您莅临翠湖宾馆，也感谢您留下真实入住评价。七十载岁月沉淀，我们始终坚守初心打磨服务品质，很高兴您认可宾馆的区位与环境风貌。针对您提及的行李服务细节问题，我们已即刻复盘优化，强化服务实操培训。往后我们会以更细致贴心的服务，不负七十载口碑积淀，静待您再次归来。,2026/5/25 0:00,发布于云南,8,https://dimg04.c-ctrip.com/images/0206y1200093jha2e8811_C_130_130_Q70.jpg,CN,5
1960120229,404956,昆明中维翠湖宾馆,M239809****,4.7,超棒,服务是最满意的，车一到酒店门口就有人开车门拿行李一直送到住的房间，床品卫浴都很干净，有早点，但因为想吃当地小吃，所以没吃，不知道怎样，就不说了。酒店对面就是翠湖，旁边就是黄公车路，很方便，总之很满意,2026/5/1 0:00,2026/5/25 15:16,商务城景双床房,0,,https://video.c-ctrip.com/videos/2302cn14x99f4zvoe060D.mp4,亲爱的宾客，由衷感谢您的满分肯定！扎根翠湖之畔七十载，我们始终用心打磨每一处服务细节，很高兴您能感受到门迎礼宾的热忱、客房环境的洁净与湖畔区位的便利。未能让您品尝到宾馆的早餐风味是小小遗憾，也期待下次您能慢下来，细品我们为您准备的春城风味早餐。祝您旅途愉快，期待重逢！,2026/5/25 0:00,发布于云南,2,https://dimg04.c-ctrip.com/images/27c3k12000na9jmdu23FE_C_130_130_Q70.jpg,CN,5
1960163139,404956,昆明中维翠湖宾馆,大岛王抒,5,超棒,"设施：中规中矩
卫生：符合星际标准
环境：非常好
服务：很好",2026/5/1 0:00,2026/5/25 15:55,商务城景双床房,0,https://images4.c-ctrip.com/images/0230m12000slc4vnzCD29_R_150_150_R5_Q70_D.jpg,,尊敬的宾客，衷心感谢您给出满分好评！历经七十载时光淬炼，翠湖宾馆兼具古韵底蕴与贴心服务。很荣幸此次入住能让您倍感舒心惬意，您的满意是我们前行的动力。七十华章，初心不改，热忱期盼您再次漫步湖畔，重赴翠湖之约。,2026/5/25 0:00,发布于云南,21,https://dimg04.c-ctrip.com/images/27c1212000na9ji4x8795_C_130_130_Q70.jpg,CN,5
1957426749,404956,昆明中维翠湖宾馆,无言成蹊,5,超棒,这家1956年开业的老牌酒店，也是国庆10周年献礼十大建筑之一。现在不多见的挑高12米的超壕大堂。“飞机楼”造型超级出片。服务没得说，中、西式早餐丰盛。位置更是方便（翠湖边）。值得推荐。,2026/5/1 0:00,2026/5/23 8:57,商务城景双床房,0,https://images4.c-ctrip.com/images/0235e12000skh2s6q540C_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0236212000skgurbv86A7_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0235e12000skh4mpg07E8_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0233n12000skh883uBA06_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0231l12000skgw074018F_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0236x12000skh3icx9EBC_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0231u12000skgz7zf83C5_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0234i12000skh897f6616_R_150_150_R5_Q70_D.jpg,,尊敬的宾客，万分感谢您对翠湖宾馆的喜爱与分享！值此宾馆70周年华诞，您对我们历史底蕴与建筑特色的认可，是我们最珍贵的礼物。1956年至今，我们始终以匠心守护这份时代记忆，从12米挑高的大堂到翠湖之畔的风光，都承载着我们对品质的坚守。很高兴您在这里收获了舒适的体验，也欢迎您再次归来，解锁更多经典之美。,2026/5/23 0:00,发布于云南,79,https://dimg04.c-ctrip.com/images/27c2112000na9j9p95174_C_130_130_Q70.jpg,CN,5
1956612395,404956,昆明中维翠湖宾馆,人，这一辈子,5,超棒,特别感谢前台李颖（小）的热情服务，人美心善，住过很多酒店，虽然一般，但是服务加到满分💯，再次感谢！,2026/5/1 0:00,2026/5/22 15:20,商务城景双床房,0,,,尊敬的宾客，万分感谢您的满分好评与对前台李颖的暖心肯定！70载初心不改，我们始终相信，有温度的服务才是翠湖宾馆最动人的名片。您的认可不仅是对我们团队的鼓励，更是我们继续前行的动力，期待与您再次相逢，续写更多温暖故事。,2026/5/23 0:00,发布于云南,66,https://dimg04.c-ctrip.com/images/zc0e170000011go8z7956_C_130_130_Q70.jpg,CN,5
1956579957,404956,昆明中维翠湖宾馆,匿名用户,4.7,超棒,房间设施虽有年代感，但维护很好，而且酒店位置特别便利，正对翠湖，去哪都很方便，服务也很好，尤其是当天前台当值的小胡、小牛，热情接待，非常有耐心。,2026/5/1 0:00,2026/5/22 14:54,商务城景双床房,0,,,尊敬的宾客，感谢您对翠湖宾馆的喜爱与肯定！70载匠心沉淀，我们用心守护着每一处细节，让经典的韵味历久弥新。很荣幸前台小胡、小牛的耐心服务能为您的旅程添彩，也很高兴酒店的黄金区位让您的出行便捷舒心，期待与您再次相遇在翠湖之畔。,2026/5/23 0:00,发布于云南,2,https://dimg04.c-ctrip.com/images/0206y1200093jha2e8811_C_130_130_Q70.jpg,CN,5
1964047542,404956,昆明中维翠湖宾馆,Curatingvibes,5,超棒,"This was an amazing place to enjoy the experience of the beauty and vibrancy of Kunming. I just really enjoyed my stay, and waking up every morning to have the lovely breakfast and walk out to be greeted by the beautiful park was truly the best. I came to relax and enjoy the Kunming pace of life, and this was the perfect place to do it.",2026/5/1 0:00,2026/5/29 1:44,商务城景大床房,0,https://images4.c-ctrip.com/images/02358324x99g5wns34255_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/02371324x99g6s2osA195_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0234m324x99g55lw4552B_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0236a324x99g6m1scD6FA_R_150_150_R5_Q70_D.jpg,,尊敬的宾客，非常感谢您的满分好评！恰逢翠湖宾馆70周年之际，能伴您在春城的晨光中享用早餐、漫步庭院，感受昆明的悠然与美好，是我们莫大的荣幸。您镜头里的每一处风景，都成了我们70周年故事里最动人的注脚。期待未来继续与您同行，共赴下一段春城之约！,2026/5/29 0:00,,3,https://dimg04.c-ctrip.com/images/0a259324x994ycqf287A4_C_130_130_Q70.jpg,en,5
1962661793,404956,昆明中维翠湖宾馆,_WeChat285996****,5,超棒,很好 给了房型升级 布置了房间 送了蛋糕 餐厅和食物都很棒 环境也很好 整体非常好 非常感谢管家小孔、小玉、小鹏、小佳 很棒,2026/5/1 0:00,2026/5/27 17:18,商务城景大床房,0,,,尊敬的宾客您好！感谢您的满分好评！在翠湖宾馆70周年的特别时刻，能为您安排房间升级与布置，送上心意蛋糕，让您拥有圆满的入住体验，我们由衷开心。也感谢您对管家小孔、小玉、小鹏、小佳的认可，我们会将这份鼓励传递给团队，继续以专业贴心的服务陪伴每一段旅程，期待您再次到来！,2026/5/29 0:00,发布于云南,9,https://dimg04.c-ctrip.com/images/27c6412000na9jnck75BB_C_130_130_Q70.jpg,CN,5
1958664779,404956,昆明中维翠湖宾馆,M232196****,5,超棒,五星好评！本次入住昆明中维翠湖宾馆体验满分！宾馆紧邻翠湖，环境雅致底蕴十足，老牌五星质感拉满。特别感谢销售部李经理，前期沟通订房耐心细致，高效专业又暖心；总台工作人员服务干练温柔，有问题响应及时，待人谦和有礼；客房保洁人员陶敏打扫细致到位，房间整洁干爽、备品齐全，日常需求随叫随到，细节服务格外贴心。整体服务贴心有度不打扰，早餐丰富，还有水果及寝前饮品，来昆明首选入住，强烈推荐！,2026/5/1 0:00,2026/5/24 11:32,商务城景双床房,0,https://images4.c-ctrip.com/images/0234t12000skvmhtb2F0F_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0234e12000skvd6ba3ACB_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0231q12000skvhk3x28B5_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0235y12000skvk84cA61D_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0231412000skvo3zkDC44_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0235i12000skvkomoECE4_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0235812000skvds732C2C_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0231o12000skvd3yc6E45_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0230v12000skvd6beDEC2_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0233e12000skvnzwiE928_R_150_150_R5_Q70_D.jpg,,亲爱的宾客，十分欣喜收到您的真诚评价！七十载风雨耕耘，翠湖宾馆一路相伴往来旅人。您真切的夸赞，是送给我们周年庆最好的礼物。您点名认可的工作人员都满心感念，往后也会坚守服务本心，把舒心体验带给更多宾客。湖畔风光依旧，我们静候您下次归来相聚。,2026/5/24 0:00,发布于云南,3,https://dimg04.c-ctrip.com/images/27c2u12000na9jl4c55A2_C_130_130_Q70.jpg,CN,5
1954361851,404956,昆明中维翠湖宾馆,M36622****,5,超棒,"设施：很复古
卫生：很干净
环境：舒服
服务：前台接待小姐叫小佳吧，很不错，帮我升房型o",2026/5/1 0:00,2026/5/20 14:49,商务城景大床房,0,https://images4.c-ctrip.com/images/0234v12000sjes8ha8D97_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0233712000sjepgou26E9_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0232s12000sjf0zpf0108_R_150_150_R5_Q70_D.jpg,,尊敬的宾客，万分感谢您的满分好评！恰逢翠湖宾馆70周年华诞，能以复古雅致的环境、干净舒适的体验与有温度的服务收获您的认可，我们倍感荣幸。也感谢您对前台同事服务的肯定，您的满意是我们前行的最大动力。期待您再次光临，共赏翠湖四季风光，感受老牌酒店的匠心魅力。,2026/5/23 0:00,发布于云南,33,https://dimg04.c-ctrip.com/images/0Z86r12000ipkedtfF0A5_C_130_130_Q70.jpg,CN,5
1961330153,404956,昆明中维翠湖宾馆,_WeChat232288****,5,超棒,整体入住感受极佳，强烈推荐！房间空间大小合适，打扫得一尘不染，细节处都打理得很到位。床品睡起来很舒服，一觉睡到天亮。服务人员彬彬有礼，有需求都能及时响应，特别贴心。设施维护得很好，家电运行正常，网速也流畅。宾馆整体氛围安静雅致，完全没有嘈杂感。价格合理，综合体验远超同价位门店，不管是出行暂住还是短期停留都很合适。这次入住全程舒心愉快，体验感拉满，已经列入首选住宿清单了。,2026/5/1 0:00,2026/5/26 15:21,商务城景双床房,0,https://images4.c-ctrip.com/images/0234n12000slouesn139D_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0233a12000slozpet1BEA_R_150_150_R5_Q70_D.jpg,,尊敬的宾客您好！感谢您的细致分享与满分认可！在翠湖宾馆70周年之际，很荣幸能以静谧雅致的氛围、干净舒适的客房与及时响应的服务，为您打造完美的入住体验。您的满意和“已列入首选住宿清单”的评价，是对我们最大的肯定。我们会始终坚持以高标准做好每一处细节，期待您再次光临，解锁更多美好时光！,2026/5/29 0:00,发布于云南,17,https://dimg04.c-ctrip.com/images/27c6412000na9jnck75BB_C_130_130_Q70.jpg,CN,5
1952028551,404956,昆明中维翠湖宾馆,M313367****,4.7,超棒,"优点：房间安静，床品舒适，窗帘很遮光，工作人员态度很好
缺点：老牌酒店你懂的，浴室差了点",2026/5/1 0:00,2026/5/18 15:14,商务城景大床房,0,,,尊敬的客人：感谢您的用心评价与中肯建议！值此70周年之际，感恩您的理解与包容。作为承载城市记忆的老牌五星，我们深知部分设施带着岁月痕迹，也一直在持续维护与升级。您提到的浴室细节，我们将在七秩焕新计划中重点优化。七十风雨，初心未改，期待您再次光临，见证我们的精进与蜕变！,2026/5/18 0:00,发布于云南,9,https://dimg04.c-ctrip.com/images/1h63h12000ixn8zb05578_C_130_130_Q70.jpg,CN,5
1951937243,404956,昆明中维翠湖宾馆,E2397****,4.5,很好,酒店位置非常好，出门就是翠湖。周边走走路，吃东西都非常方便。很好的体验，下次还会选择,2026/5/1 0:00,2026/5/18 14:09,商务城景双床房,0,,,尊敬的客人：感谢您的好评与认可！七十年湖山相伴，感恩一路同行。翠湖宾馆坐落翠湖南岸，坐拥城市核心地段，出门即揽湖光山色，尽享春城烟火。能在70周年这一特殊年份，为您提供便利舒心的旅居体验，我们由衷欣喜。愿这份美好常伴左右，期待您常回“家”看看！,2026/5/18 0:00,发布于云南,15,https://dimg04.c-ctrip.com/images/27c1212000na9ji4x8795_C_130_130_Q70.jpg,CN,5
1953134287,404956,昆明中维翠湖宾馆,匿名用户,5,超棒,位置绝佳，服务周到。,2026/5/1 0:00,2026/5/19 12:58,商务城景双床房,0,,,尊敬的宾客，感谢您在翠湖宾馆70周年之际选择我们，并留下满分好评！很高兴我们的黄金位置与贴心服务能为您的旅途带来便利与舒心。70载时光沉淀，我们始终以热忱之心服务每一位宾客，期待未来能再次在翠湖之畔与您相逢，共赴美好时光！,2026/5/19 0:00,发布于云南,13,https://dimg04.c-ctrip.com/images/0206y1200093jha2e8811_C_130_130_Q70.jpg,CN,5
1954536520,404956,昆明中维翠湖宾馆,访客,5,超棒,Very clean hotel. Near to restaurants and shops. Highly recommened to travellers.,2026/5/1 0:00,2026/5/20 16:42,商务城景大床房,0,,,尊敬的宾客，感谢您对翠湖宾馆的认可与推荐！值此70周年之际，这份赞誉更是我们前行的珍贵动力。我们很荣幸酒店的洁净环境与便捷区位能为您的旅途增添舒心，也期待更多旅人能与我们相遇，感受翠湖之畔的温暖旅居。,2026/5/23 0:00,,139,https://dimg04.c-ctrip.com/images/t1/headphoto/164/424/952/04eab99bd26f47acadef4fd3f95b9f37_C_130_130_Q70.jpg,en,5
1950594921,404956,昆明中维翠湖宾馆,_YX19970****,4.2,,稍微有点老,2026/5/1 0:00,2026/5/17 13:13,商务城景大床房,0,,,尊敬的宾客，非常感谢您选择翠湖宾馆并留下真实评价！您提到的设施问题我们已高度重视，作为拥有70年历史的宾馆，我们正在稳步推进设施升级与焕新工作，力求在保留历史底蕴的同时，为您带来更舒适的入住体验。感谢您的理解与宝贵建议，期待未来能以崭新面貌再次迎接您的光临。,2026/5/17 0:00,发布于云南,4,https://dimg04.c-ctrip.com/images/27c2f12000na9jaezFEED_C_130_130_Q70.jpg,CN,5
1949571337,404956,昆明中维翠湖宾馆,M2jty6gra****,5,超棒,服务很贴心，拾金不昧👍👍👍,2026/5/1 0:00,2026/5/16 14:12,商务雅仕房,0,,,尊敬的宾客，非常感谢您给予的全五星好评！您的肯定是对我们服务最大的鼓励，也由衷感谢您对我们工作人员拾金不昧行为的认可。在翠湖宾馆70周年的温暖旅程中，我们始终将宾客的安心与满意放在首位，期待未来能继续以贴心周到的服务，伴您度过每一段美好时光，祝您万事顺意！,2026/5/16 0:00,发布于云南,1,https://dimg04.c-ctrip.com/images/27c2112000na9j9p95174_C_130_130_Q70.jpg,CN,5
